track_name,artists,year,region,country_code
Maniac,Michael Sembello,1983,US,US
Sweet Dreams (Are Made of This),Eurythmics,1983,US,US
Do You Really Want to Hurt Me,Culture Club,1983,US,US
You and I,Eddie RabbittandCrystal Gayle,1983,US,US
Come On Eileen,Dexys Midnight Runners,1983,US,US
Shame on the Moon,Bob Seger & The Silver Bullet Band,1983,US,US
She Works Hard for the Money,Donna Summer,1983,US,US
Never Gonna Let You Go,Sérgio Mendes,1983,US,US
Hungry Like the Wolf,Duran Duran,1983,US,US
Let's Dance,David Bowie,1983,US,US
Twilight Zone,Golden Earring,1983,US,US
I Know There's Something Going On,Frida,1983,US,US
Jeopardy,The Greg Kihn Band,1983,US,US
Electric Avenue,Eddy Grant,1983,US,US
She Blinded Me with Science,Thomas Dolby,1983,US,US
Africa,Toto,1983,US,US
Little Red Corvette,Prince,1983,US,US
Back on the Chain Gang,The Pretenders,1983,US,US
Up Where We Belong,Joe CockerandJennifer Warnes,1983,US,US
Mr. Roboto,Styx,1983,US,US
You Are,Lionel Richie,1983,US,US
Der Kommissar,After the Fire,1983,US,US
Puttin' on the Ritz,Taco,1983,US,US
Sexual Healing,Marvin Gaye,1983,US,US
(Keep Feeling) Fascination,The Human League,1983,US,US
Time (Clock of the Heart),Culture Club,1983,US,US
The Safety Dance,Men Without Hats,1983,US,US
Mickey,Toni Basil,1983,US,US
You Can't Hurry Love,Phil Collins,1983,US,US
Separate Ways (Worlds Apart),Journey,1983,US,US
One on One,Daryl Hall & John Oates,1983,US,US
We've Got Tonight,Kenny RogersandSheena Easton,1983,US,US
1999,Prince,1983,US,US
Stray Cat Strut,Stray Cats,1983,US,US
Allentown,Billy Joel,1983,US,US
Stand Back,Stevie Nicks,1983,US,US
Tell Her About It,Billy Joel,1983,US,US
Always Something There to Remind Me,Naked Eyes,1983,US,US
Truly,Lionel Richie,1983,US,US
Dirty Laundry,Don Henley,1983,US,US
The Girl Is Mine,Michael JacksonandPaul McCartney,1983,US,US
Too Shy,Kajagoogoo,1983,US,US
Goody Two-Shoes,Adam Ant,1983,US,US
Rock the Casbah,The Clash,1983,US,US
Our House,Madness,1983,US,US
Overkill,Men at Work,1983,US,US
Is There Something I Should Know?,Duran Duran,1983,US,US
Gloria,Laura Branigan,1983,US,US
Affair of the Heart,Rick Springfield,1983,US,US
She's a Beauty,The Tubes,1983,US,US
Solitaire,Laura Branigan,1983,US,US
Don't Let It End,Styx,1983,US,US
How Am I Supposed to Live Without You,Laura Branigan,1983,US,US
China Girl,David Bowie,1983,US,US
Come Dancing,The Kinks,1983,US,US
"Promises, Promises",Naked Eyes,1983,US,US
The Other Guy,Little River Band,1983,US,US
Making Love Out of Nothing at All,Air Supply,1983,US,US
Family Man,Daryl Hall & John Oates,1983,US,US
Wanna Be Startin' Somethin',Michael Jackson,1983,US,US
I Won't Hold You Back,Toto,1983,US,US
All Right,Christopher Cross,1983,US,US
Straight from the Heart,Bryan Adams,1983,US,US
Heart to Heart,Kenny Loggins,1983,US,US
My Love,Lionel Richie,1983,US,US
I'm Still Standing,Elton John,1983,US,US
Hot Girls in Love,Loverboy,1983,US,US
It's a Mistake,Men at Work,1983,US,US
I'll Tumble 4 Ya,Culture Club,1983,US,US
All This Love,DeBarge,1983,US,US
Your Love Is Driving Me Crazy,Sammy Hagar,1983,US,US
Heartbreaker,Dionne Warwick,1983,US,US
Faithfully,Journey,1983,US,US
Steppin' Out,Joe Jackson,1983,US,US
Take Me to Heart,Quarterflash,1983,US,US
(She's) Sexy + 17,Stray Cats,1983,US,US
Try Again,Champaign,1983,US,US
Dead Giveaway,Shalamar,1983,US,US
Lawyers in Love,Jackson Browne,1983,US,US
What About Me,Moving Pictures,1983,US,US
Human Nature,Michael Jackson,1983,US,US
Photograph,Def Leppard,1983,US,US
Pass the Dutchie,Musical Youth,1983,US,US
True,Spandau Ballet,1983,US,US
Far from Over,Frank Stallone,1983,US,US
I've Got a Rock 'n' Roll Heart,Eric Clapton,1983,US,US
It Might Be You,Stephen Bishop,1983,US,US
"Tonight, I Celebrate My Love",Peabo BrysonandRoberta Flack,1983,US,US
You Got Lucky,Tom Petty and the Heartbreakers,1983,US,US
Don't Cry,Asia,1983,US,US
Breaking Us in Two,Joe Jackson,1983,US,US
Fall in Love with Me,"Earth, Wind & Fire",1983,US,US
No.,Title,1984,US,US
When Doves Cry,Prince,1984,US,US
What's Love Got to Do with It,Tina Turner,1984,US,US
"Say, Say, Say",Paul McCartneyandMichael Jackson,1984,US,US
Footloose,Kenny Loggins,1984,US,US
Against All Odds (Take a Look at Me Now),Phil Collins,1984,US,US
Jump,Van Halen,1984,US,US
Hello,Lionel Richie,1984,US,US
Owner of a Lonely Heart,Yes,1984,US,US
Ghostbusters,Ray Parker Jr.,1984,US,US
Karma Chameleon,Culture Club,1984,US,US
Missing You,John Waite,1984,US,US
All Night Long (All Night),Lionel Richie,1984,US,US
Let's Hear It for the Boy,Deniece Williams,1984,US,US
Dancing in the Dark,Bruce Springsteen,1984,US,US
Girls Just Want to Have Fun,Cyndi Lauper,1984,US,US
The Reflex,Duran Duran,1984,US,US
Time After Time,Cyndi Lauper,1984,US,US
Jump (For My Love),The Pointer Sisters,1984,US,US
Talking in Your Sleep,The Romantics,1984,US,US
Self Control,Laura Branigan,1984,US,US
Let's Go Crazy,Prince&the Revolution,1984,US,US
Say It Isn't So,Daryl Hall & John Oates,1984,US,US
Hold Me Now,Thompson Twins,1984,US,US
Joanna,Kool & the Gang,1984,US,US
I Just Called to Say I Love You,Stevie Wonder,1984,US,US
Somebody's Watching Me,Rockwell,1984,US,US
Break My Stride,Matthew Wilder,1984,US,US
99 Luftballons/99 Red Balloons,Nena,1984,US,US
I Can Dream About You,Dan Hartman,1984,US,US
The Glamorous Life,Sheila E.,1984,US,US
Oh Sherrie,Steve Perry,1984,US,US
Stuck on You,Lionel Richie,1984,US,US
I Guess That's Why They Call It the Blues,Elton John,1984,US,US
She Bop,Cyndi Lauper,1984,US,US
Borderline,Madonna,1984,US,US
Sunglasses at Night,Corey Hart,1984,US,US
Eyes Without a Face,Billy Idol,1984,US,US
Here Comes the Rain Again,Eurythmics,1984,US,US
Uptown Girl,Billy Joel,1984,US,US
Sister Christian,Night Ranger,1984,US,US
Drive,The Cars,1984,US,US
Twist of Fate,Olivia Newton-John,1984,US,US
Union of the Snake,Duran Duran,1984,US,US
The Heart of Rock & Roll,Huey Lewis and the News,1984,US,US
Hard Habit to Break,Chicago,1984,US,US
The Warrior,Scandal,1984,US,US
If Ever You're in My Arms Again,Peabo Bryson,1984,US,US
Automatic,The Pointer Sisters,1984,US,US
Let the Music Play,Shannon,1984,US,US
To All the Girls I've Loved Before,Julio IglesiasandWillie Nelson,1984,US,US
Caribbean Queen (No More Love on the Run),Billy Ocean,1984,US,US
That's All,Genesis,1984,US,US
Running with the Night,Lionel Richie,1984,US,US
Sad Songs (Say So Much),Elton John,1984,US,US
I Want a New Drug,Huey Lewis and the News,1984,US,US
Islands in the Stream,Kenny RogersandDolly Parton,1984,US,US
Love Is a Battlefield,Pat Benatar,1984,US,US
Infatuation,Rod Stewart,1984,US,US
Almost Paradise,Mike RenoandAnn Wilson,1984,US,US
Legs,ZZ Top,1984,US,US
State of Shock,The Jacksons,1984,US,US
Love Somebody,Rick Springfield,1984,US,US
Miss Me Blind,Culture Club,1984,US,US
If This Is It,Huey Lewis and the News,1984,US,US
You Might Think,The Cars,1984,US,US
Lucky Star,Madonna,1984,US,US
Cover Me,Bruce Springsteen,1984,US,US
Cum on Feel the Noize,Quiet Riot,1984,US,US
Breakdance,Irene Cara,1984,US,US
Adult Education,Daryl Hall & John Oates,1984,US,US
They Don't Know,Tracey Ullman,1984,US,US
An Innocent Man,Billy Joel,1984,US,US
Cruel Summer,Bananarama,1984,US,US
Dance Hall Days,Wang Chung,1984,US,US
Give It Up,KC and the Sunshine Band,1984,US,US
I'm So Excited,The Pointer Sisters,1984,US,US
I Still Can't Get Over Loving You,Ray Parker Jr.,1984,US,US
Thriller,Michael Jackson,1984,US,US
Holiday,Madonna,1984,US,US
Breakin'... There's No Stopping Us,Ollie & Jerry,1984,US,US
Nobody Told Me,John Lennon,1984,US,US
